"filename", "language", "SCSS", "JavaScript", "PHP", "XML", "JSON", "SQL", "Latte", "CSS", "comment", "blank", "total"
"d:\wamp\www\eshopTemplateAdmin\app\views\Error\401.latte", "Latte", 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\wamp\www\eshopTemplateAdmin\app\views\Error\404.latte", "Latte", 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\wamp\www\eshopTemplateAdmin\app\views\Error\405.latte", "Latte", 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\wamp\www\eshopTemplateAdmin\app\views\Error\410.latte", "Latte", 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\wamp\www\eshopTemplateAdmin\app\views\Error\500.latte", "Latte", 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\wamp\www\eshopTemplateAdmin\app\views\Home\default.latte", "Latte", 0, 0, 0, 0, 0, 0, 5, 0, 0, 1, 6
"d:\wamp\www\eshopTemplateAdmin\app\views\Nastaveni\default.latte", "Latte", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\wamp\www\eshopTemplateAdmin\app\views\Objednavky\default.latte", "Latte", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\wamp\www\eshopTemplateAdmin\app\views\Objednavky\faktury.latte", "Latte", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\wamp\www\eshopTemplateAdmin\app\views\Produkty\category_list.latte", "Latte", 0, 0, 0, 0, 0, 0, 12, 0, 0, 1, 13
"d:\wamp\www\eshopTemplateAdmin\app\views\Produkty\ceny.latte", "Latte", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\wamp\www\eshopTemplateAdmin\app\views\Produkty\default.latte", "Latte", 0, 0, 0, 0, 0, 0, 48, 0, 0, 2, 50
"d:\wamp\www\eshopTemplateAdmin\app\views\Produkty\detail.latte", "Latte", 0, 0, 0, 0, 0, 0, 84, 0, 0, 4, 88
"d:\wamp\www\eshopTemplateAdmin\app\views\Produkty\import.latte", "Latte", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\wamp\www\eshopTemplateAdmin\app\views\Produkty\kategorie.latte", "Latte", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\wamp\www\eshopTemplateAdmin\app\views\Produkty\sklad.latte", "Latte", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\wamp\www\eshopTemplateAdmin\app\views\Produkty\slevy.latte", "Latte", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\wamp\www\eshopTemplateAdmin\app\views\Sandbox\default.latte", "Latte", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\wamp\www\eshopTemplateAdmin\app\views\Sign\In.latte", "Latte", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\wamp\www\eshopTemplateAdmin\app\views\Statistiky\default.latte", "Latte", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\wamp\www\eshopTemplateAdmin\app\views\Statistiky\navstevnost.latte", "Latte", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\wamp\www\eshopTemplateAdmin\app\views\Statistiky\prodej.latte", "Latte", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\wamp\www\eshopTemplateAdmin\app\views\Statistiky\skladovepohyby.latte", "Latte", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\wamp\www\eshopTemplateAdmin\app\views\Statistiky\slevy.latte", "Latte", 0, 0, 0, 0, 0, 0, 6, 0, 0, 0, 6
"d:\wamp\www\eshopTemplateAdmin\app\views\Zakaznici\default.latte", "Latte", 0, 0, 0, 0, 0, 0, 40, 0, 0, 0, 40
"d:\wamp\www\eshopTemplateAdmin\app\views\footer.latte", "Latte", 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"d:\wamp\www\eshopTemplateAdmin\app\views\head.latte", "Latte", 0, 0, 0, 0, 0, 0, 14, 0, 0, 0, 14
"d:\wamp\www\eshopTemplateAdmin\app\views\nav_side.latte", "Latte", 0, 0, 0, 0, 0, 0, 67, 0, 0, 0, 67
"d:\wamp\www\eshopTemplateAdmin\app\views\nav_top.latte", "Latte", 0, 0, 0, 0, 0, 0, 2, 0, 0, 1, 3
"d:\wamp\www\eshopTemplateAdmin\app\views\scripts.latte", "Latte", 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 13
"d:\wamp\www\eshopTemplateAdmin\app\zasilkovna\uploadPacket.php", "PHP", 0, 0, 27, 0, 0, 0, 0, 0, 0, 8, 35
"d:\wamp\www\eshopTemplateAdmin\composer.json", "JSON", 0, 0, 0, 0, 16, 0, 0, 0, 0, 0, 16
"d:\wamp\www\eshopTemplateAdmin\composer.lock", "JSON", 0, 0, 0, 0, 1195, 0, 0, 0, 0, 1, 1196
"d:\wamp\www\eshopTemplateAdmin\www\images\pastel-logo.svg", "XML", 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 1
"d:\wamp\www\eshopTemplateAdmin\www\index.php", "PHP", 0, 0, 16, 0, 0, 0, 0, 0, 6, 7, 29
"d:\wamp\www\eshopTemplateAdmin\www\scripts\ajax.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\wamp\www\eshopTemplateAdmin\www\scripts\script.js", "JavaScript", 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\wamp\www\eshopTemplateAdmin\www\scripts\tabs.js", "JavaScript", 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 1
"d:\wamp\www\eshopTemplateAdmin\www\styles\_nav.scss", "SCSS", 25, 0, 0, 0, 0, 0, 0, 0, 0, 1, 26
"d:\wamp\www\eshopTemplateAdmin\www\styles\_sign.scss", "SCSS", 14, 0, 0, 0, 0, 0, 0, 0, 0, 0, 14
"d:\wamp\www\eshopTemplateAdmin\www\styles\_table.scss", "SCSS", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\wamp\www\eshopTemplateAdmin\www\styles\_tabs.scss", "SCSS", 3, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3
"d:\wamp\www\eshopTemplateAdmin\www\styles\style.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 45, 1, 11, 57
"d:\wamp\www\eshopTemplateAdmin\www\styles\style.scss", "SCSS", 4, 0, 0, 0, 0, 0, 0, 0, 0, 1, 5
"Total", "-", 49, 1, 1862, 1, 1211, 618, 438, 45, 1045, 505, 5775
